,album,artist_name,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,explicit,mode,popularity,duration_ms,Unnamed: 0
0,El Dorado,24kGoldn,1,38mQZ5tZ6IylQaJCCF90ox,The Top,spotify:track:38mQZ5tZ6IylQaJCCF90ox,0.336,0.754,0.711,0.0,0.128,-3.842,0.072,138.031,0.27,True,0,59,196373,
1,Fighting Demons (Deluxe),Juice WRLD,1,1X8E4vVoOM3BpSQlEDSjjM,Burn,spotify:track:1X8E4vVoOM3BpSQlEDSjjM,0.149,0.354,0.475,0.034,0.21,-9.333,0.0425,114.975,0.0393,True,0,76,217222,
2,El Dorado,24kGoldn,2,3JVTsvTldB6arHVlmxmTnM,Company (feat. Future),spotify:track:3JVTsvTldB6arHVlmxmTnM,0.447,0.831,0.727,0.0,0.111,-3.657,0.169,125.068,0.703,True,0,71,213080,
3,Fighting Demons (Deluxe),Juice WRLD,2,1hB3M3POeKMLxcEFEvPeqU,Already Dead,spotify:track:1hB3M3POeKMLxcEFEvPeqU,0.0216,0.744,0.495,0.0,0.111,-6.311,0.0634,83.51,0.128,True,1,77,231221,
4,Fighting Demons (Deluxe),Juice WRLD,3,1CfuBY3BDdKpooQ9L5zgUc,Cigarettes,spotify:track:1CfuBY3BDdKpooQ9L5zgUc,0.0306,0.587,0.614,0.0,0.399,-6.344,0.0435,160.075,0.451,True,1,79,227527,
5,Fighting Demons (Deluxe),Juice WRLD,4,0veO6y9anwdVTaRuW7y8NJ,You Wouldn't Understand,spotify:track:0veO6y9anwdVTaRuW7y8NJ,0.0012,0.724,0.748,0.0,0.132,-4.335,0.0722,158.04,0.118,True,0,71,170792,
6,El Dorado,24kGoldn,4,3DwtzjXAKk8zS3tbdJHOsK,Outta Pocket,spotify:track:3DwtzjXAKk8zS3tbdJHOsK,0.097,0.728,0.689,0.0,0.359,-3.077,0.0399,92.993,0.48,True,0,57,146680,
7,Fighting Demons (Deluxe),Juice WRLD,5,3i6sCTU7ENlnHpHvrHUitW,Sometimes,spotify:track:3i6sCTU7ENlnHpHvrHUitW,0.0609,0.674,0.58,0.0,0.159,-4.866,0.0311,121.987,0.0759,True,1,85,259672,
8,El Dorado,24kGoldn,5,6MGRweoLPBAaPcXTMpMWsA,Coco (feat. DaBaby),spotify:track:6MGRweoLPBAaPcXTMpMWsA,0.158,0.697,0.783,0.0,0.151,-4.356,0.0876,98.068,0.528,True,0,75,142000,
9,Fighting Demons (Deluxe),Juice WRLD,6,2DQayQSTaomynGyTLXzGs0,Wandered To LA (with Justin Bieber),spotify:track:2DQayQSTaomynGyTLXzGs0,0.0518,0.687,0.643,3.31e-06,0.11,-4.763,0.0406,135.068,0.418,True,1,74,188833,
10,El Dorado,24kGoldn,6,5kJkOtbYfLn9z6dQR8tx6u,Butterflies,spotify:track:5kJkOtbYfLn9z6dQR8tx6u,0.249,0.713,0.537,0.0,0.117,-4.806,0.0945,89.985,0.323,True,0,54,220387,
11,El Dorado,24kGoldn,7,6wpEKnAD0c7y4H2iAUrj4K,Breath Away,spotify:track:6wpEKnAD0c7y4H2iAUrj4K,0.445,0.778,0.697,0.0,0.123,-2.278,0.0491,145.949,0.852,True,0,56,171400,
12,Fighting Demons (Deluxe),Juice WRLD,7,7n6OIZ0TGJAxgmId9EygTE,Eminem Speaks,spotify:track:7n6OIZ0TGJAxgmId9EygTE,0.936,0.646,0.235,0.0,0.271,-19.697,0.582,128.139,0.624,True,0,63,133251,
13,Fighting Demons (Deluxe),Juice WRLD,8,2aaUTdC6YQqEZiQEk8wPxK,Rockstar In His Prime,spotify:track:2aaUTdC6YQqEZiQEk8wPxK,0.415,0.685,0.729,0.0,0.196,-8.694,0.15,170.025,0.382,True,0,71,180750,
14,El Dorado,24kGoldn,8,21qG1xDCjJDZZ6Gffjpjt2,Yellow Lights,spotify:track:21qG1xDCjJDZZ6Gffjpjt2,0.279,0.714,0.796,0.0,0.0739,-3.185,0.0468,150.071,0.582,True,0,54,146480,
15,Fighting Demons (Deluxe),Juice WRLD,9,1GydGCPNYJnCziQZBLE85q,Doom,spotify:track:1GydGCPNYJnCziQZBLE85q,0.016,0.62,0.495,1.91e-05,0.102,-7.251,0.0534,85.951,0.122,True,1,70,217488,
16,El Dorado,24kGoldn,9,2hx8cZug1bgRMXgW5RCTUV,"3, 2, 1",spotify:track:2hx8cZug1bgRMXgW5RCTUV,0.246,0.694,0.708,0.0,0.152,-2.066,0.137,164.958,0.69,True,1,75,131587,
17,El Dorado,24kGoldn,10,1RcMFiXTuwbv78czGAYY7W,Empty (feat. Swae Lee),spotify:track:1RcMFiXTuwbv78czGAYY7W,0.419,0.702,0.596,8.58e-06,0.125,-4.174,0.0966,169.884,0.382,False,0,53,163333,
18,Fighting Demons (Deluxe),Juice WRLD,10,6LhB5o2iWjJgNHqock5H3b,Go Hard 2.0,spotify:track:6LhB5o2iWjJgNHqock5H3b,0.611,0.616,0.463,4.65e-06,0.163,-7.666,0.18,145.289,0.0682,True,0,73,214728,
19,El Dorado,24kGoldn,11,5DHDV5VawsTsUrJmPJTPVD,Cut It Off,spotify:track:5DHDV5VawsTsUrJmPJTPVD,0.0986,0.648,0.613,0.0,0.302,-4.38,0.0542,87.523,0.369,False,1,49,154827,
20,Fighting Demons (Deluxe),Juice WRLD,11,5MaFTsKpVo4VHmzXUIdLrj,Juice WRLD Speaks,spotify:track:5MaFTsKpVo4VHmzXUIdLrj,0.852,0.559,0.42,0.0,0.363,-15.124,0.888,71.13,0.799,True,0,61,89310,
21,El Dorado,24kGoldn,12,2ucxgtfCJ6IBZYz0fReLND,Don't Sleep,spotify:track:2ucxgtfCJ6IBZYz0fReLND,0.0561,0.635,0.546,0.0,0.121,-5.838,0.0385,141.918,0.271,True,1,53,207360,
22,Fighting Demons (Deluxe),Juice WRLD,12,55ZNNY6D8FkNFAlVceAwIZ,Not Enough,spotify:track:55ZNNY6D8FkNFAlVceAwIZ,0.00369,0.693,0.715,2.86e-06,0.205,-6.108,0.049,90.006,0.323,True,1,70,171830,
23,El Dorado,24kGoldn,13,4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),spotify:track:4jPy3l0RUwlUI9T5XHBW2m,0.174,0.701,0.716,0.0,0.324,-3.671,0.0361,91.007,0.732,True,0,90,140533,
24,Fighting Demons (Deluxe),Juice WRLD,13,45ttRl8uNtJkop7r9dmP4e,Feline (with Polo G & Trippie Redd),spotify:track:45ttRl8uNtJkop7r9dmP4e,0.0208,0.575,0.619,0.0,0.103,-6.663,0.322,110.109,0.296,True,1,72,212204,
25,Fighting Demons (Deluxe),Juice WRLD,14,26bkmabhSByGuQgWUqB37J,Relocate,spotify:track:26bkmabhSByGuQgWUqB37J,0.114,0.706,0.59,0.0,0.128,-6.403,0.0619,82.973,0.462,True,1,67,208188,
26,Fighting Demons (Deluxe),Juice WRLD,15,1N0TOOPBJvFOvQipTFz5io,Juice WRLD Speaks 2,spotify:track:1N0TOOPBJvFOvQipTFz5io,0.988,0.496,0.28,0.0185,0.104,-13.915,0.0951,99.506,0.519,True,0,62,190998,
27,Fighting Demons (Deluxe),Juice WRLD,16,2FDXscpZOtGwuOKmY0K76w,Until The Plug Comes Back Around,spotify:track:2FDXscpZOtGwuOKmY0K76w,0.196,0.7,0.725,0.0,0.176,-5.776,0.0491,144.994,0.524,True,1,66,173678,
28,El Dorado,24kGoldn,3,05EjphKqE2EJVMy0iORf1l,Love Or Lust,spotify:track:05EjphKqE2EJVMy0iORf1l,0.112,0.718,0.651,0.0,0.101,-3.594,0.13,144.042,0.723,False,0,60,176373,
29,Fighting Demons (Deluxe),Juice WRLD,17,4HDQt6Lepj3HpxypbG30Hz,From My Window,spotify:track:4HDQt6Lepj3HpxypbG30Hz,0.129,0.702,0.514,0.0,0.104,-6.674,0.0432,76.982,0.133,True,0,69,187212,
30,Fighting Demons (Deluxe),Juice WRLD,18,59bY27SZQ4r25o02vqOhgC,Girl Of My Dreams (with SUGA of BTS),spotify:track:59bY27SZQ4r25o02vqOhgC,0.194,0.603,0.771,0.0,0.13,-6.336,0.0627,139.988,0.332,True,1,75,226149,
31,Fighting Demons (Deluxe),Juice WRLD,19,7Jc01x8pxVqgVGxn5jrwui,Feel Alone,spotify:track:7Jc01x8pxVqgVGxn5jrwui,0.0935,0.619,0.622,0.0,0.226,-5.874,0.0461,150.062,0.194,True,0,68,230094,
32,Fighting Demons (Deluxe),Juice WRLD,20,6D1KDOoVRKLyGcxVBi13Ot,Go Hard,spotify:track:6D1KDOoVRKLyGcxVBi13Ot,0.625,0.641,0.445,7.8e-06,0.119,-7.94,0.12,145.302,0.0534,True,0,67,134689,
33,Fighting Demons (Deluxe),Juice WRLD,21,2iSQmITHUdCBQGDgvwEzkY,My Life In A Nutshell,spotify:track:2iSQmITHUdCBQGDgvwEzkY,0.0126,0.565,0.614,0.0,0.125,-7.008,0.0383,142.113,0.188,True,1,66,189740,
34,Fighting Demons (Deluxe),Juice WRLD,22,4UoDSs5VAw6xHdzbkjocTM,Rich And Blind,spotify:track:4UoDSs5VAw6xHdzbkjocTM,0.0092,0.641,0.637,0.0,0.0931,-5.185,0.109,159.964,0.43,True,1,64,228193,
35,Fighting Demons (Deluxe),Juice WRLD,23,6BjtaWm1T4kDWAqHrf8vEi,Legends,spotify:track:6BjtaWm1T4kDWAqHrf8vEi,0.114,0.586,0.82,0.0,0.134,-4.791,0.072,142.107,0.391,True,0,65,192036,
36,DROPPED OUTTA COLLEGE,24kGoldn,9,2ZW6w3NPw4lZf4Li0UBOwL,CITY OF ANGELS - LLusion Funk Remix,spotify:track:2ZW6w3NPw4lZf4Li0UBOwL,0.233,0.856,0.616,0.0,0.219,-5.871,0.571,120.165,0.886,False,0,60,124000,
37,DROPPED OUTTA COLLEGE,24kGoldn,10,6eS0wBVWhhFmT1ufmMMh2G,VALENTINO (feat. Lil Tjay) - Remix,spotify:track:6eS0wBVWhhFmT1ufmMMh2G,0.143,0.744,0.557,0.0,0.138,-9.552,0.23,151.052,0.66,True,0,50,198964,
38,DROPPED OUTTA COLLEGE,24kGoldn,1,2aV5ZEAvHwvL332EsJ1gWc,DROPPED OUTTA COLLEGE,spotify:track:2aV5ZEAvHwvL332EsJ1gWc,0.0107,0.911,0.379,1.69e-06,0.15,-7.823,0.412,120.044,0.191,True,1,57,127613,
39,DROPPED OUTTA COLLEGE,24kGoldn,2,2ajT5ziA7OSRU9Q7PwXdri,THE GRAM (feat. Fetty Wap),spotify:track:2ajT5ziA7OSRU9Q7PwXdri,0.0556,0.791,0.64,0.0,0.0662,-5.221,0.0701,141.05,0.599,True,1,43,198440,
40,DROPPED OUTTA COLLEGE,24kGoldn,3,3IGDjnVf4i7g44bePMSKV0,MY BED,spotify:track:3IGDjnVf4i7g44bePMSKV0,0.139,0.734,0.552,0.0,0.114,-4.861,0.0409,127.96,0.601,True,1,48,121507,
